@relation D2a

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y {0, 1}

@data
-0.013853,0.003391,0.008073,0.001763,-0.333338,-0.087171,0
-0.003968,0.00685,-0.010614,0.007073,-1.53173,0.358194,1
-0.000879,0.010865,0.009091,0.000774,1.54959,-0.36405,0
0.003682,-0.004185,-0.002308,0.013048,-1.34991,0.252063,1
-0.013258,0.015207,-0.019668,0.015697,1.28385,-0.531146,0
0.015576,-0.016946,-0.011002,-0.001659,-1.36414,0.623197,1
-0.014002,0.0216,-0.001272,0.002641,0.596974,0.047185,1
0.00942,0.002429,0.004199,0.005763,-1.62028,-0.214322,1
0.010433,0.014498,0.010508,-0.010514,-1.2752,0.409967,1
0.001954,-0.003677,-0.00462,0.004363,-0.244046,1.04007,1
-0.00496,0.011157,-0.001699,0.007145,-0.21654,-0.59097,0
0.008998,-0.016004,-0.006224,-0.001148,0.496728,0.212458,1
-0.006411,0.003759,-0.008882,0.004361,-0.91148,1.01984,1
0.008379,0.007569,0.010724,0.002009,-0.463668,1.117,1
0.003425,-0.000567,-0.000654,-0.001315,0.575942,-1.08807,0
-0.005158,-0.013915,0.009471,0.014226,-1.54674,0.324991,1
0.006542,0.019341,-0.00582,-0.000979,-1.53841,-0.205687,1
0.001865,-0.013199,0.009416,0.014606,-0.94811,0.853448,1
0.020666,-0.018559,0.013986,-0.002562,0.843527,-0.819308,0
0.004395,-0.009016,0.000397,0.019025,-1.27073,0.495975,1
0.008999,0.007719,-0.006952,0.000652,-0.629323,0.103917,0
-0.004315,0.011357,0.003384,-0.005718,1.38007,0.15381,0
-0.014931,-0.022867,-0.003625,0.016363,0.391887,-0.440445,1
0.009769,-0.000344,-0.00009,0.013693,-0.166729,-0.837858,0
0.010839,-0.009735,0.005882,-0.000701,-0.25588,-0.54042,0
-0.004979,-0.004442,-0.010624,0.007047,0.182143,-1.0625,0
0.009313,0.013564,0.024488,0.010591,-0.381176,-0.192738,0
-0.002226,-0.013572,0.000049,-0.001126,-0.513526,-0.032405,0
-0.012595,-0.00937,0.008745,0.017428,-0.348217,0.460999,0
-0.008289,-0.005805,0.005277,0.016265,-0.528198,-0.010957,0
0.020937,-0.004477,-0.00403,0.001045,0.357102,-1.05939,0
0.024691,0.018023,0.002457,0.026535,0.374873,0.288667,1
-0.004184,0.014868,-0.000168,0.018308,0.588038,-0.874983,0
-0.003525,0.015643,-0.011019,0.012823,-0.048482,-0.862999,0
-0.000234,-0.01057,-0.005179,0.020124,0.239808,0.42739,1
0.003477,-0.009402,-0.010607,0.016568,-0.315898,1.0685,1
-0.016894,-0.004189,-0.012354,0.011259,0.460907,-1.04804,0
0.00424,0.013218,0.005513,0.000294,-0.107839,-0.786971,0
0.008225,0.009194,0.010997,-0.007948,0.320325,0.407086,1
0.011369,-0.002789,0.006826,0.005231,-1.34956,-0.14182,1
0.000535,0.007657,0.000958,-0.009357,0.319119,0.60127,1
-0.014709,-0.00292,-0.011896,0.013026,0.37577,-0.177148,1
0.002451,0.002353,0.002381,-0.001026,1.03347,-0.822252,0
-0.007754,0.004874,-0.006009,0.007181,-1.41302,0.62881,1
-0.007312,-0.019867,-0.008467,-0.010142,0.03149,0.953641,1
0.008693,0.006191,0.007556,0.015309,-1.41064,-0.119105,1
0.012593,0.007193,-0.007162,-0.005191,-0.350633,0.980796,1
-0.011108,-0.000661,0.002841,-0.015478,1.53659,-0.274568,0
-0.007674,-0.006129,-0.004502,0.0092,-1.43047,0.295506,1
-0.00137,0.007621,-0.003904,-0.013139,1.51059,-0.057589,0
