@relation D2b

@attribute x1 numeric
@attribute x2 numeric
@attribute y {0, 1}

@data
-0.000333,-0.087171,0
-0.001532,0.358194,1
0.00155,-0.36405,0
-0.00135,0.252063,1
0.001284,-0.531146,0
-0.001364,0.623197,1
0.000597,0.047185,1
-0.00162,-0.214322,1
-0.001275,0.409967,1
-0.000244,1.04007,1
-0.000217,-0.59097,0
0.000497,0.212458,1
-0.000911,1.01984,1
-0.000464,1.117,1
0.000576,-1.08807,0
-0.001547,0.324991,1
-0.001538,-0.205687,1
-0.000948,0.853448,1
0.000844,-0.819308,0
-0.001271,0.495975,1
-0.000629,0.103917,0
0.00138,0.15381,0
0.000392,-0.440445,1
-0.000167,-0.837858,0
-0.000256,-0.54042,0
0.000182,-1.0625,0
-0.000381,-0.192738,0
-0.000514,-0.032405,0
-0.000348,0.460999,0
-0.000528,-0.010957,0
0.000357,-1.05939,0
0.000375,0.288667,1
0.000588,-0.874983,0
-0.000048,-0.862999,0
0.00024,0.42739,1
-0.000316,1.0685,1
0.000461,-1.04804,0
-0.000108,-0.786971,0
0.00032,0.407086,1
-0.00135,-0.14182,1
0.000319,0.60127,1
0.000376,-0.177148,1
0.001033,-0.822252,0
-0.001413,0.62881,1
0.000031,0.953641,1
-0.001411,-0.119105,1
-0.000351,0.980796,1
0.001537,-0.274568,0
-0.00143,0.295506,1
0.001511,-0.057589,0
-0.000471,-0.419315,0
-0.001568,0.134736,1
0.000358,0.423929,1
0.000135,-0.841212,0
0.000146,-1.04391,0
-0.000935,0.962217,1
-0.000503,-0.521089,0
-0.000204,0.83164,1
-0.001567,0.507656,1
0.000479,-1.07781,0
-0.001455,-0.238881,1
-0.000419,1.05279,1
0.000144,0.728855,1
0.001587,-0.068233,0
0.000156,0.689132,1
-0.000454,-0.028299,0
0.001369,-0.546867,0
-0.001294,0.569743,1
0.000494,-0.878583,0
0.001054,-0.803483,0
-0.000525,-0.203958,0
-0.00056,1.14282,1
0.000493,-1.13211,0
-0.000603,0.230647,0
-0.001354,0.382655,1
-0.001081,0.95182,1
0.001411,-0.401766,0
-0.000608,-0.033115,0
-0.001373,0.134363,1
-0.00063,1.04149,1
-0.00025,-0.829855,0
-0.000584,-0.298999,0
-0.000508,1.13467,1
-0.000411,0.115505,0
-0.000554,0.957705,1
-0.000143,-0.661234,0
0.001252,-0.808908,0
-0.001524,-0.519564,1
0.001548,-0.16402,0
-0.000202,0.885052,1
0.001001,-0.935438,0
-0.000543,1.02436,1
-0.000037,0.824636,1
-0.001014,0.993448,1
0.001239,-0.593106,0
-0.001386,0.070559,1
-0.001005,0.909711,1
0.000375,0.215977,1
-0.000886,0.984867,1
0.000878,-0.984999,0
-0.000575,0.96495,1
0.001397,-0.644935,0
0.000533,0.105745,1
0.000429,-0.139932,1
-0.000259,0.959675,1
0.000704,-0.956176,0
-0.000298,-0.588145,0
0.001064,-0.794034,0
-0.001009,0.743896,1
0.000987,-0.741531,0
-0.001648,-0.074022,1
-0.000266,0.934986,1
0.000248,-1.09092,0
0.000292,-1.04225,0
-0.000364,-0.429684,0
-0.000208,-0.709597,0
0.000522,0.020119,1
0.000256,-0.913482,0
0.001142,-0.948488,0
-0.000474,-0.477629,0
-0.00029,1.06798,1
-0.001119,0.906932,1
-0.000283,-0.551746,0
0.001422,-0.172345,0
-0.001444,-0.161934,1
0.000719,-0.971456,0
0.000736,-1.0805,0
0.000368,0.009447,1
0.000082,0.90272,1
0.001634,0.036267,0
-0.001319,0.725019,1
0.001484,-0.183975,0
0.001318,-0.629468,0
-0.000903,0.806729,1
-0.000364,-0.475455,0
-0.001332,0.654376,1
0.000131,-1.02519,0
0.000194,0.716444,1
-0.001531,0.128739,1
-0.00136,0.314804,1
-0.001274,0.365477,1
0.000361,-0.890458,0
-0.001342,0.153075,1
0.000735,-1.03089,0
-0.001231,0.646778,1
-0.000756,0.874578,1
-0.001147,0.670746,1
0.000349,0.291084,1
0.001552,0.140849,0
0.001643,-0.232162,0
0.001075,-0.895574,0
-0.001508,0.377217,1
0.000893,-0.885734,0
-0.000289,-0.669818,0
0.00116,-0.689606,0
0.001395,-0.36345,0
-0.000561,0.429076,0
-0.001564,0.23055,1
-0.00043,0.222631,0
-0.000551,0.886086,1
0.00039,0.044445,1
-0.000244,-0.596456,0
-0.000657,0.877313,1
-0.001371,0.114618,1
-0.00071,0.942728,1
-0.001608,-0.305411,1
0.000502,0.28015,1
-0.001424,-0.050869,1
-0.001358,0.300045,1
0.001405,-0.531152,0
0.00035,0.264596,1
0.000169,0.684717,1
-0.000355,0.307137,0
-0.000079,-0.960542,0
-0.001147,0.922032,1
-0.001428,-0.278206,1
-0.000266,-0.683123,0
0.001329,-0.412282,0
0.000492,-0.218448,1
0.000531,0.467517,1
-0.001618,0.026038,1
0.000646,-0.941474,0
0.000405,0.252082,1
0.000214,0.513316,1
-0.001591,-0.11096,1
-0.000448,1.13377,1
0.000083,0.639174,1
-0.000443,1.03909,1
0.00058,0.046458,1
-0.000402,-0.084511,0
-0.00147,0.432083,1
0.000903,-0.84967,0
0.00133,-0.391406,0
-0.000027,-0.834512,0
-0.000839,0.793064,1
-0.000698,1.09828,1
0.001161,-0.733751,0
-0.001288,0.443773,1
-0.001384,0.526523,1
-0.000077,-0.707686,0
